citedTitle	docid	citedWork	citedAuthor	hot	year	source_id
Molecular wheat breeding by direct gene transfer	4787402	EUPHYTICA	Lorz, H	yes	1998	WOS:000082079800005	
Characterization of wheat-triticale doubled haploid lines by cytological and biochemical markers	45224940	PLANT BREEDING	Zhang, XQ	yes	1998	WOS:000082079800005	
GREEN-FLUORESCENT PROTEIN AS A NEW VITAL MARKER IN PLANT-CELLS	2592098	PLANT JOURNAL	SHEEN, J	yes	1995	WOS:000082079800005	
RAPID PRODUCTION OF MULTIPLE INDEPENDENT LINES OF FERTILE TRANSGENIC WHEAT (TRITICUM-AESTIVUM)	267782	PLANT PHYSIOLOGY	WEEKS, JT	yes	1993	WOS:000082079800005	
NONE	52701123	CYTOPLASMIC ENG WHEA	MCINTOSH RA	no	1991	WOS:000082079800005	
Alien gene transfer and genetic enrichment of bread wheat.	14242150	Biodiversity and wheat improvement.	Jauhar, P. P.	yes	1993	WOS:000082079800005	
MAIZE POLYUBIQUITIN GENES - STRUCTURE, THERMAL PERTURBATION OF EXPRESSION AND TRANSCRIPT SPLICING, AND PROMOTER ACTIVITY FOLLOWING TRANSFER TO PROTOPLASTS BY ELECTROPORATION	3087858	PLANT MOLECULAR BIOLOGY	CHRISTENSEN, AH	yes	1992	WOS:000082079800005	
GENETIC-REGULATION OF DIPLOID-LIKE CHROMOSOME-PAIRING IN AVENA	22255762	THEORETICAL AND APPLIED GENETICS	JAUHAR, PP	yes	1977	WOS:000082079800005	
INTROGRESSION AND CHARACTERIZATION OF BARLEY YELLOW DWARF VIRUS-RESISTANCE FROM THINOPYRUM-INTERMEDIUM INTO WHEAT	4159525	GENOME	SHARMA, H	yes	1995	WOS:000082079800005	
SELF-FERTILE TRANSGENIC WHEAT PLANTS REGENERATED FROM ISOLATED SCUTELLAR TISSUES FOLLOWING MICROPROJECTILE BOMBARDMENT WITH 2 DISTINCT GENE CONSTRUCTS	2113304	PLANT JOURNAL	NEHRA, NS	yes	1994	WOS:000082079800005	
Expression of a novel high-molecular-weight glutenin subunit gene in transgenic wheat	2592166	NATURE BIOTECHNOLOGY	Blechl, AE	yes	1996	WOS:000082079800005	
HOW WIDE CAN A WIDE CROSS BE	8271472	EUPHYTICA	SHARMA, HC	yes	1995	WOS:000082079800005	
CONSERVATION OF GENOME STRUCTURE BETWEEN RICE AND WHEAT	7463651	BIO-TECHNOLOGY	KURATA, N	yes	1994	WOS:000082079800005	
Transformation of wheat with high molecular weight subunit genes results in improved functional properties	2592148	NATURE BIOTECHNOLOGY	Barro, F	yes	1997	WOS:000082079800005	
RFLP ANALYSIS OF AN AEGILOPS VENTRICOSA CHROMOSOME THAT CARRIES A GENE CONFERRING RESISTANCE TO LEAF RUST (PUCCINIA-RECONDITA) WHEN TRANSFERRED TO HEXAPLOID WHEAT	3284989	THEORETICAL AND APPLIED GENETICS	BONHOMME, A	yes	1995	WOS:000082079800005	
Variability of transgene expression in clonal cell lines of wheat	10583116	PLANT SCIENCE	Muller, E	yes	1996	WOS:000082079800005	
GREEN FLUORESCENT PROTEIN AS A MARKER FOR GENE-EXPRESSION	145676	SCIENCE	CHALFIE, M	yes	1994	WOS:000082079800005	
REGISTRATION OF AMIGO WHEAT GERMPLASM RESISTANT TO GREENBUG	8389376	CROP SCIENCE	SEBESTA, EE	yes	1995	WOS:000082079800005	
DUPLICATION OF CAMV-35S PROMOTER SEQUENCES CREATES A STRONG ENHANCER FOR PLANT GENES	1468840	SCIENCE	KAY, R	yes	1987	WOS:000082079800005	
Identification of the parental chromosomes of the wheat-alien amphiploid Agrotana by genomic in situ hybridization	6388084	GENOME	Chen, Q	yes	1995	WOS:000082079800005	
NONE	145297687	P 2 INT TRIT S UT US	LUO MC	no	1994	WOS:000082079800005	
Characterization of wheat-alien translocations conferring resistance to diseases and pests: Current status	2609989	EUPHYTICA	Friebe, B	yes	1996	WOS:000082079800005	
TRANSFER OF PH(I) GENES PROMOTING HOMOEOLOGOUS PAIRING FROM TRITICUM SPELTOIDES TO COMMON WHEAT	7737629	THEORETICAL AND APPLIED GENETICS	CHEN, PD	yes	1994	WOS:000082079800005	
Molecular cytogenetic analysis of Agropyron chromatin specifying resistance to barley yellow dwarf virus in wheat	2152659	GENOME	Hohmann, U	yes	1996	WOS:000082079800005	
Genomic constitution of a partial amphiploid OK7211542 used as a source of immunity to barley yellow dwarf virus for bread wheat	6388110	Plant Breeding	Chen, Qin	yes	1998	WOS:000082079800005	
Development of PCR markers linked to resistance to wheat streak mosaic virus in wheat	227267	THEORETICAL AND APPLIED GENETICS	Talbert, LE	yes	1996	WOS:000082079800005	
NONE	25154586	ADV CELLULAR MOL BIO	BAGA M	no	1999	WOS:000082079800005	
Identification of molecular markers linked to the Yr15 stripe rust resistance gene of wheat originated in wild emmer wheat, Triticum dicoccoides	3718987	THEORETICAL AND APPLIED GENETICS	Sun, GL	yes	1997	WOS:000082079800005	
REACTION OF ALIEN CHROMOSOME SUBSTITUTION AND ADDITION LINES OF HARD RED SPRING WHEAT TO COMMON ROOT-ROT AND BLACK POINT	45224306	GENOME	CONNER, RL	yes	1993	WOS:000082079800005	
Bread-making quality and yield performance of 1BL/1RS wheat isogenic lines	20366634	PLANT BREEDING	Bullrich, L	yes	1998	WOS:000082079800005	
USE OF RADIATION TO TRANSFER ALIEN CHROMOSOME SEGMENTS TO WHEAT	6388410	CROP SCIENCE	SEARS, ER	yes	1993	WOS:000082079800005	
Nullisomictetrasomic combinations in hexaploid wheat.	2153301	Chromosome manipulations and plant genetics.	Sears, E. R.	yes	1966	WOS:000082079800005	
Characterisation of powdery mildew resistant lines derived from crosses between Triticum aestivum and Aegilops speltoides and Ae-mutica	90527282	EUPHYTICA	Eser, V	yes	1998	WOS:000082079800005	
Identification, mapping, and application of polymorphic DNA associated with resistance gene Pm21 of wheat	8686781	GENOME	Qi, LL	yes	1996	WOS:000082079800005	
Haploid durum wheat production via hybridization with maize	2867707	CROP SCIENCE	Almouslem, AB	yes	1998	WOS:000082079800005	
Transformation of wheat with the gene encoding the coat protein of barley yellow mosaic virus	2592260	AUSTRALIAN JOURNAL OF PLANT PHYSIOLOGY	Karunaratne, S	yes	1996	WOS:000082079800005	
The influence of Elymus sibiricus L genome on the diploidization system of wheat	129277537	EUPHYTICA	Motsny, II	yes	1996	WOS:000082079800005	
Identification of Haynaldia villosa chromosomes added to wheat using a sequential C-banding and genomic in situ hybridization technique	10187798	THEORETICAL AND APPLIED GENETICS	Zhong, SB	yes	1996	WOS:000082079800005	
MEIOSIS AND FERTILITY OF F1 HYBRIDS BETWEEN HEXAPLOID BREAD WHEAT AND DECAPLOID TALL WHEATGRASS (THINOPYRUM-PONTICUM)	17129219	THEORETICAL AND APPLIED GENETICS	JAUHAR, PP	yes	1995	WOS:000082079800005	
Thinopyrum and Lophopyrum as sources of genes for wheat improvement	14242233	CEREAL RESEARCH COMMUNICATIONS	Jauhar, PP	yes	1996	WOS:000082079800005	
Glyphosate-tolerant CP4 and GOX genes as a selectable marker in wheat transformation	7804316	PLANT CELL REPORTS	Zhou, H	yes	1995	WOS:000082079800005	
The transfer of leaf-rust resistance from Aegilops umbellulata to wheat	2611985	BROOKHAVEN SYMPOSIA IN BIOL	SEARS, E. R.	yes	1956	WOS:000082079800005	
Transfer of alien genetic material to wheat.	2153326	Wheat science - today and tomorrow.	Sears, E. R.	yes	1981	WOS:000082079800005	
A homoeologous-pairing mutant isolated in Triticum durum cv. Cappelli.	40186375	Mutation Breeding Newsletter	Giorgi, B.	yes	1978	WOS:000082079800005	
NONE	146424482	AGR ABSTR	JAUHAR PP	no	1990	WOS:000082079800005	
CYTOLOGICAL AND MOLECULAR CHARACTERIZATION OF A TRITICUM-AESTIVUM X LOPHOPYRUM-PONTICUM BACKCROSS DERIVATIVE RESISTANT TO BARLEY YELLOW DWARF	17561187	GENOME	ZHONG, GY	yes	1994	WOS:000082079800005	
Introduction and constitutive expression of a rice chitinase gene in bread wheat using biolistic bombardment and the bar gene as a selectable marker	10579295	THEORETICAL AND APPLIED GENETICS	Chen, WP	yes	1998	WOS:000082079800005	
Comparative mapping of the two wheat leaf rust resistance loci Lr1 and Lr10 in rice and barley	6547175	GENOME	Gallego, F	yes	1998	WOS:000082079800005	
NONE	363585113	IN PRESS J HERED	JAUHAR PP	no	1999	WOS:000082079800005	
Somatic embryogenesis from isolated scutella of wheat: Effects of physical, physiological and genetic factors	2592311	PLANT SCIENCE	Maes, OC	yes	1996	WOS:000082079800005	
PHYSICAL DISTRIBUTION OF TRANSLOCATION BREAKPOINTS IN HOMOEOLOGOUS RECOMBINANTS INDUCED BY THE ABSENCE OF THE PH1 GENE IN WHEAT AND TRITICALE	2152891	THEORETICAL AND APPLIED GENETICS	LUKASZEWSKI, AJ	yes	1995	WOS:000082079800005	
Transgenic durum wheat by microprojectile bombardment of isolated scutella	18578203	JOURNAL OF HEREDITY	Bommineni, VR	yes	1997	WOS:000082079800005	
SYNTHESIS AND CYTOLOGICAL CHARACTERIZATION OF TRIGENERIC HYBRIDS INVOLVING DURUM-WHEAT, THINOPYRUM-BESSARABICUM, AND LOPHOPYRUM-ELONGATUM	26857144	THEORETICAL AND APPLIED GENETICS	JAUHAR, PP	yes	1992	WOS:000082079800005	
INTRODUCTION OF YELLOW RUST RESISTANCE OF AEGILOPS COMOSA INTO WHEAT BY GENETICALLY INDUCED HOMOEOLOGOUS RECOMBINATION	6896561	NATURE	RILEY, R	yes	1968	WOS:000082079800005	
Molecular cytogenetic analysis of Leymus racemosus chromosomes added to wheat	6896537	THEORETICAL AND APPLIED GENETICS	Qi, LL	yes	1997	WOS:000082079800005	
NONE	18188651	PLANT PHYSIOL	REPELLIN A	no	1997	WOS:000082079800005	
Intergeneric hybridization for wheat improvement .5. Production of and metaphase 1 chromosome analysis in F1 hybrids of wheat (Triticum aestivum) with Aegilops ovata L	18884084	CEREAL RESEARCH COMMUNICATIONS	Farooq, S	yes	1996	WOS:000082079800005	
NONE	146424122	NEW AGE AGR DEV 20 2	CHIBBAR RN	no	1998	WOS:000082079800005	
Multicolor fluorescence in situ hybridization: A new tool for genome analysis	7737869	NONE	Mukai, Yasuiko	yes	1996	WOS:000082079800005	
Production of transgenic wheat through particle bombardment of scutellar tissues: Frequency is influenced by culture duration	11635520	JOURNAL OF PLANT PHYSIOLOGY	Takumi, S	yes	1996	WOS:000082079800005	
Hygromycin resistance as an efficient selectable marker for wheat stable transformation	3116102	PLANT CELL REPORTS	Ortiz, JPA	yes	1996	WOS:000082079800005	
NONE	22255786	P 1998 NAT HEAD BLIG	JAUHAR PP	no	1998	WOS:000082079800005	
Cereal genome analysis using rice as a model	6547232	CURRENT OPINION IN GENETICS & DEVELOPMENT	Havukkala, IJ	yes	1996	WOS:000082079800005	
STANDARD KARYOTYPE AND NOMENCLATURE SYSTEM FOR DESCRIPTION OF CHROMOSOME BANDS AND STRUCTURAL-ABERRATIONS IN WHEAT (TRITICUM-AESTIVUM)	261737	GENOME	GILL, BS	yes	1991	WOS:000082079800005	
Molecular and biochemical characterization of a non-Robertsonian wheat-rye chromosome translocation line	138604221	CROP SCIENCE	Wang, EM	yes	1998	WOS:000082079800005	
An improved green fluorescent protein gene as a vital marker in plants	1947499	PLANT PHYSIOLOGY	Pang, SZ	yes	1996	WOS:000082079800005	
GENETIC-REGULATION OF DIPLOID-LIKE CHROMOSOME-PAIRING IN HEXAPLOID SPECIES, FESTUCA-ARUNDINACEA SCHREB AND FESTUCA-RUBRA L (GRAMINEAE)	10137256	CHROMOSOMA	JAUHAR, PP	yes	1975	WOS:000082079800005	
NONE	68817497	P WHO S AGR AGR DEC	JAUHAR PP	no	1988	WOS:000082079800005	
COMPARATIVE LINKAGE MAPS OF THE RICE AND MAIZE GENOMES	1771271	PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA	AHN, S	yes	1993	WOS:000082079800005	
Mapping a gene conferring resistance to Pseudocercosporella herpotrichoides on chromosome 4V of Dasypyrum villosum in a wheat background	8686968	GENOME	Yildirim, A	yes	1998	WOS:000082079800005	
CHROMOSOMAL LOCATIONS OF THE STRUCTURAL GENES FOR SECALINS IN WILD PERENNIAL RYE (SECALE-MONTANUM GUSS) AND CULTIVATED RYE (SECALE-CEREALE L) DETERMINED BY TWO-DIMENSIONAL ELECTROPHORESIS	23257435	CANADIAN JOURNAL OF GENETICS AND CYTOLOGY	SHEWRY, PR	yes	1986	WOS:000082079800005	
The use of wheat-alien and Aegilops-rye amphiploids for introgression of genetic material to wheat (Reprinted from Wheat: Prospects for global improvement, 1998)	27877275	EUPHYTICA	Simonenko, VK	yes	1998	WOS:000082079800005	
NONE	363626750	IN PRESS CROP SCI	FRIEBE B	no	1999	WOS:000082079800005	
STABLY TRANSFORMED CALLUS LINES FROM MICROPROJECTILE BOMBARDMENT OF CELL-SUSPENSION CULTURES OF WHEAT	5178762	BIO-TECHNOLOGY	VASIL, V	yes	1991	WOS:000082079800005	
HIGH-LEVEL OF GUS GENE-EXPRESSION DRIVEN BY POLLEN-SPECIFIC PROMOTERS IN ELECTROPORATED LILY POLLEN PROTOPLASTS	11522382	SEXUAL PLANT REPRODUCTION	MIYOSHI, H	yes	1995	WOS:000082079800005	
Wheat transformation: methods and prospects.	14155532	Plant Breeding Abstracts	Nehra, N. S.	yes	1995	WOS:000082079800005	
RAPID PRODUCTION OF TRANSGENIC WHEAT PLANTS BY DIRECT BOMBARDMENT OF CULTURED IMMATURE EMBRYOS	2592859	BIO-TECHNOLOGY	VASIL, V	yes	1993	WOS:000082079800005	
Pairing and recombination between individual chromosomes of wheat and rye in hybrids carrying the ph1b mutation	3415001	THEORETICAL AND APPLIED GENETICS	Naranjo, T	yes	1996	WOS:000082079800005	
RFLP MARKERS LINKED TO POWDERY MILDEW RESISTANCE GENES PM1, PM2, PM3, AND PM4 IN WHEAT	461909	GENOME	MA, ZQ	yes	1994	WOS:000082079800005	
NONE	7686809	WHEAT INFORM SERV	MURAI K	no	1997	WOS:000082079800005	
IDENTIFICATION OF DNA-SEQUENCES REQUIRED FOR ACTIVITY OF THE CAULIFLOWER MOSAIC VIRUS-35S PROMOTER	694433	NATURE	ODELL, JT	yes	1985	WOS:000082079800005	
Wide hybridization and genome relationships in cereals: An assessment of molecular approaches	14242030	MAYDICA	Bommineni, VR	yes	1997	WOS:000082079800005	
Genetic segregation and the detection of spontaneous wheat-alien translocations	2616172	EUPHYTICA	Thomas, J	yes	1998	WOS:000082079800005	
Studies in the cytology of cereals	20336129	JOURNAL OF GENETICS	Pathak, GN	yes	1940	WOS:000082079800005	
NONE	146424537	IMPERIAL CANC RES FU	JAUHAR PP	no	1998	WOS:000082079800005	
Aaption, stability and high yield potential of certain 1B/1R CIMMYT wheats	2696659	NONE	Rajaram, S.	no	1983	WOS:000082079800005	
MORPHOLOGICAL AND CYTOLOGICAL CHARACTERISTICS OF SOME WHEAT X BARLEY HYBRIDS	9249925	THEORETICAL AND APPLIED GENETICS	JAUHAR, PP	yes	1995	WOS:000082079800005	
STABLY TRANSFORMED CALLUS OF WHEAT BY ELECTROPORATION-INDUCED DIRECT GENE-TRANSFER	16688058	PLANT CELL REPORTS	ZHOU, H	yes	1993	WOS:000082079800005	
IN-VITRO CULTURE OF WHEAT AND GENETIC-TRANSFORMATION - RETROSPECT AND PROSPECT	5419282	CRITICAL REVIEWS IN PLANT SCIENCES	MAHESHWARI, N	yes	1995	WOS:000082079800005	
Isolation, characterization and expression analysis of a starch branching enzyme II cDNA from wheat	8148993	PLANT SCIENCE	Nair, RB	yes	1997	WOS:000082079800005	
Species relationship of wheat and its putative ancestors as viewed from isozyme variation	4465003	NONE	Nishikawa, K.	no	1983	WOS:000082079800005	
An evaluation of target cells and tissues used in genetic transformation of cereals	4429385	MAYDICA	Bommineni, VR	yes	1997	WOS:000082079800005	
Chromosome pairing as a tool in genome analysis: Merits and limitations	6033200	NONE	Jauhar, Prem P.	yes	1996	WOS:000082079800005	
CROSSABILITY AND EMBRYO RESCUE ENHANCEMENT IN WIDE CROSSES BETWEEN WHEAT AND 3 AGROPYRON SPECIES	4622508	EUPHYTICA	SHARMA, HC	yes	1990	WOS:000082079800005	
RUST RESISTANCE IN TRITICUM-CYLINDRICUM CES (4X, CCDD) AND ITS TRANSFER INTO DURUM AND HEXAPLOID WHEATS	10187072	GENOME	BAI, D	yes	1995	WOS:000082079800005	
Agronomic performance of chromosomes 1B and T1BL.1RS near-isolines in the spring bread wheat Seri M82	3415221	EUPHYTICA	Villareal, RL	yes	1998	WOS:000082079800005	
Antioxidant systems in sunflower (Helianthus annuus L.) seeds as affected by priming	11520138	SEED SCIENCE RESEARCH	Bailly, C	yes	2000	WOS:000297447200063	
The priming of seeds	32211990	Acta Horticulturae	HEYDECKER, W.	no	1978	WOS:000297447200063	
Perennial rye (Secale moonmum Guss.): Physiology and yield	427755786	Forage Crops Production in Iran	Karimi, H	no	2005	WOS:000297447200063	
Priming and re-drying improve the survival of mature seeds of Digitalis purpurea during storage	261752394	ANNALS OF BOTANY	Butler, L. H.	yes	2009	WOS:000297447200063	
NONE	287455519	SAS/STAT User's Guide, Release 6.03 Edition	NONE	no	1988	WOS:000297447200063	
REVIEW OF DATA-ANALYSIS METHODS FOR SEED-GERMINATION	2868405	CROP SCIENCE	SCOTT, SJ	yes	1984	WOS:000297447200063	
Germination and emergence of primed grass seeds under field and simulated-field temperature regimes	427755929	Ann. Bot.	Stuart, P. H.	no	2000	WOS:000297447200063	
SUGARS AND DESICCATION TOLERANCE IN SEEDS	798940	PLANT PHYSIOLOGY	KOSTER, KL	yes	1988	WOS:000297447200063	
Effect of priming temperature on storability of primed sh-2 sweet corn seed	35733504	CROP SCIENCE	Chiu, KY	yes	2002	WOS:000297447200063	
Triticum aestivum). 	345043668	Seed Technology	Basra, S. M. A.	yes	2006	WOS:000297447200063	
Germination and radicle growth in unprimed and primed seeds of sweet sorghum as affected by reduced water potential in NaCl at different temperatures	267655125	INDUSTRIAL CROPS AND PRODUCTS	Patane, Cristina	yes	2009	WOS:000297447200063	
The influence of aerated hydration seed treatment on seed longevity as assessed by the viability equations	23498108	JOURNAL OF EXPERIMENTAL BOTANY	Powell, AA	yes	2000	WOS:000297447200063	
OSMOTIC POTENTIAL OF POLYETHYLENE-GLYCOL 6000	1763738	PLANT PHYSIOLOGY	MICHEL, BE	yes	1973	WOS:000297447200063	
Cellular events during germination and seedling growth	8653152	Seed Physiology of Development and Germination	Bewley, JD	no	1994	WOS:000297447200063	
REGULATION OF PEA CYTOSOLIC ASCORBATE PEROXIDASE AND OTHER ANTIOXIDANT ENZYMES DURING THE PROGRESSION OF DROUGHT STRESS AND FOLLOWING RECOVERY FROM DROUGHT	4859862	PLANT JOURNAL	MITTLER, R	yes	1994	WOS:000297447200063	
Gene expression programs during Brassica oleracea seed maturation, osmopriming, and germination are indicators of progression of the germination process and the stress tolerance level	53589473	PLANT PHYSIOLOGY	Soeda, Y	yes	2005	WOS:000297447200063	
Endo-beta-mannanase activity and seed germination of thermosensitive and thermotolerant lettuce genotypes in response to seed priming	21040498	SEED SCIENCE RESEARCH	Nascimento, WM	yes	2001	WOS:000297447200063	
Seed invigoration techniques to improve germination and early growth of inbred line of maize under salinity and drought stress.	256018568	General and Applied Plant Physiology	Janmohammadi, M.	yes	2008	WOS:000297447200063	
Effect of osmo- and hydropriming of chickpea seeds on seedling growth and carbohydrate metabolism under water deficit stress	28517423	PLANT GROWTH REGULATION	Kaur, S	yes	2002	WOS:000297447200063	
Osmopriming of spinach (Spinacia oleracea L. cv. Bloomsdale) seeds and germination performance under temperature and water stress	427755738	Seed Science and Technology	Chen, K.	no	2010	WOS:000297447200063	
VARIATION AND SELECTION FOR SEED SET IN TETRAPLOID RYE	22743514	HEREDITAS-GENETISKT ARKIV	AASTVEIT, K	yes	1968	WOS:000250474400008	
DIPLOID PERENNIAL INTERGENERIC HYBRIDS IN THE TRIBE TRITICEAE .3. HYBRIDS AMONG SECALE-MONTANUM, PSEUDOROEGNERIA-SPICATA, AND AGROPYRON-MONGOLICUM	76302129	GENOME	WANG, RRC	yes	1987	WOS:000250474400008	
NONE	79233601	DOGAL KAYNAKLARIN SU	AKGUN I	no	1996	WOS:000250474400008	
CYTOGENETIC INVESTIGATIONS IN DIPLOID AND AUTOTETRAPLOID POPULATIONS OF FESTUCA-PRATENSIS	28854717	HEREDITAS	SIMONSEN, O	yes	1975	WOS:000250474400008	
NONE	79233845	PLANT BREEDING ABSTR	VITVITSKII MA	no	1982	WOS:000250474400008	
NONE	79233686	J BRIT GRASSLAND SOC	HEBBLETHWAITE PH	no	1979	WOS:000250474400008	
FERTILITY AND CHROMOSOME PAIRING IN AUTOTETRAPLOID RYE	21761973	NATURE	ROSEWEIR, J	yes	1962	WOS:000250474400008	
NONE	79233717	ANKARA U ZIRAAT FAKU	KUN E	no	1988	WOS:000250474400008	
ORIGIN OF CULTIVATED RYE	34764775	AMERICAN JOURNAL OF BOTANY	STUTZ, HC	yes	1972	WOS:000250474400008	
NONE	320140340	Breeding field crops	Poehlman, J.M.	no	1987	WOS:000250474400008	
Fertility and meiotic chromosome behaviour in autotetraploid pearl millet.	79233726	TAG. Theoretical and applied genetics. Theoretische und angewandte Genetik	Narasinga Rao, P S	yes	1982	WOS:000250474400008	
THE BASIS OF LOW GRAIN-YIELD AND INFERTILITY IN AUTOTETRAPLOID BARLEY (HORDEUM-VULGARE)	8391936	HEREDITY	EVANS, GM	yes	1990	WOS:000250474400008	
Use of anaphase I separations and the number of micronuclei in tetrads for selection of fertility in ryegrass	28853779	ISRAEL JOURNAL OF PLANT SCIENCES	Sagsoz, S	yes	2002	WOS:000250474400008	
Breeding of tetraploid rye in the Netherlands. I. Methods and cytological investigations.	20911303	Euphytica	BREMER, G.	yes	1954	WOS:000250474400008	
EFFECT OF SELECTION FOR SEED SET ON MEIOTIC CHROMOSOME BEHAVIOR IN AUTOTETRAPLOID PEARL-MILLET	50361067	ZEITSCHRIFT FUR PFLANZENZUCHTUNG-JOURNAL OF PLANT BREEDING	ARUNDHATI, K	yes	1983	WOS:000250474400008	
NONE	79233653	UTILIZATION GENETIC	EVANS GM	no	1982	WOS:000250474400008	
Meiosis in autotetraploid secale cereale	34829861	BOTANICAL GAZETTE	O'Mara, Joseph G.	yes	1943	WOS:000250474400008	
NONE	79233694	LEHRBUCH ZUCHTUNG LA	HOFFMAN W	no	1985	WOS:000250474400008	
NONE	28854155	P 17 INT GRASS C FEB	ELGERSMA A	no	1993	WOS:000250474400008	
SELECTION IN TETRAPLOID RYE .1. EFFECTS OF SELECTION ON RELATIONSHIPS BETWEEN SEED-SET, MEIOTIC REGULARITY AND PLANT VIGOR	30691377	HEREDITAS	HOSSAIN, MG	yes	1975	WOS:000250474400008	
PERENNIAL SPRING RYE AS A CROP ALTERNATIVE	26857669	JOURNAL OF AGRONOMY AND CROP SCIENCE-ZEITSCHRIFT FUR ACKER UND PFLANZENBAU	REIMANNPHILIPP, R	yes	1986	WOS:000250474400008	
NONE	387154774	ROZS ES TRITICALE NE	KRUPPA J	no	2001	WOS:000229586700073	
NONE	387059057	SECALE CEREAALE L SE	GIZELLA K	no	1963	WOS:000229586700073	
Investigation of green manuring plants as secondary crop improving unfavourable field conditions to efficient food production	70970353	CEREAL RESEARCH COMMUNICATIONS	Gyuricza, C	yes	2006	WOS:000246676800085	
NONE	322251956	OSTERMELO	SIPOS T	no	2006	WOS:000246676800085	
Adaptation of wheat (Triticum aestivum L) genotypes and related species to water deficiency	59959052	CEREAL RESEARCH COMMUNICATIONS	Hoffmann, B	yes	2005	WOS:000246676800085	
The main elements of sustainable food chain management	70950236	CEREAL RESEARCH COMMUNICATIONS	Husti, I	yes	2006	WOS:000246676800085	
NONE	322251959	2 INT SCI S NAT RES	SIPOS T	no	2004	WOS:000246676800085	
NONE	322251952	2 INT SCI S NAT RES	HALASZ E	no	2004	WOS:000246676800085	
ANEUPLOIDY IN INDUCED AUTOTETRAPLOID POPULATIONS OF FESTUCA-PRATENSIS, LOLIUM-MULTIFLORUM AND LOLIUM-PERENNE .1. THE FREQUENCY OF ANEUPLOIDS AND PERFORMANCE OF SPACED PLANTS IN 2 AUTOTETRAPLOID POPULATIONS OF FESTUCA-PRATENSIS	28854400	HEREDITAS	KLINGA, K	yes	1986	WOS:000292018300004	
SEED YIELD RELATED TO CROP DEVELOPMENT AND TO YIELD COMPONENTS IN 9 CULTIVARS OF PERENNIAL RYEGRASS (LOLIUM-PERENNE L)	37244410	EUPHYTICA	ELGERSMA, A	yes	1990	WOS:000292018300004	
CYTOGENETICS OF LOLIUM-PERENNE .4. COLCHICINE INDUCED VARIATION IN DIPLOIDS	16798927	THEORETICAL AND APPLIED GENETICS	HAGUE, LM	yes	1987	WOS:000292018300004	
VARIATION AND SELECTION FOR SEED SET IN TETRAPLOID RYE	22743514	HEREDITAS-GENETISKT ARKIV	AASTVEIT, K	yes	1968	WOS:000292018300004	
CYTOGENETIC INVESTIGATIONS IN DIPLOID AND AUTOTETRAPLOID POPULATIONS OF FESTUCA-PRATENSIS	28854717	HEREDITAS	SIMONSEN, O	yes	1975	WOS:000292018300004	
Test weight, kernel shrivelling, and aneuploidy frequency in triticale	37506389	NEW ZEALAND JOURNAL OF AGRICULTURAL RESEARCH	Tosun, M	yes	2003	WOS:000292018300004	
NONE	417141743	GENOME	RICHARD R	no	1987	WOS:000292018300004	
NONE	417141508	THESIS ATATURK U ERZ	AKGUN I	no	1994	WOS:000292018300004	
NONE	79233717	ANKARA U ZIRAAT FAKU	KUN E	no	1988	WOS:000292018300004	
GENOTYPIC CONTROL OF CHROMOSOME BEHAVIOUR IN RYE .X. CHROMOSOME PAIRING AND FERTILITY IN AUTOTETRAPLOIDS	34828946	HEREDITY	HAZARIKA, MH	yes	1967	WOS:000292018300004	
ORIGIN OF CULTIVATED RYE	34764775	AMERICAN JOURNAL OF BOTANY	STUTZ, HC	yes	1972	WOS:000292018300004	
Fertility and meiotic chromosome behaviour in autotetraploid pearl millet.	79233726	TAG. Theoretical and applied genetics. Theoretische und angewandte Genetik	Narasinga Rao, P S	yes	1982	WOS:000292018300004	
NONE	417141767	ATATURK U YAY	SAGSOZ S	no	1982	WOS:000292018300004	
THE BASIS OF LOW GRAIN-YIELD AND INFERTILITY IN AUTOTETRAPLOID BARLEY (HORDEUM-VULGARE)	8391936	HEREDITY	EVANS, GM	yes	1990	WOS:000292018300004	
Use of anaphase I separations and the number of micronuclei in tetrads for selection of fertility in ryegrass	28853779	ISRAEL JOURNAL OF PLANT SCIENCES	Sagsoz, S	yes	2002	WOS:000292018300004	
NONE	417141659	BIBL GENETICA	JAIN SK	no	1960	WOS:000292018300004	
NONE	287865352	Manual of Quantitative Genetics	Becker, WA	no	1984	WOS:000292018300004	
NONE	417141826	THESIS ANKARA U	TUTLUER MI	no	1993	WOS:000292018300004	
NONE	417141838	HEREDITAS	WEIRMARCH A	no	1975	WOS:000292018300004	
NONE	417141494	TAR CEVR IL SEMP DOG	AKGUN I	no	1996	WOS:000292018300004	
PERFORMANCE OF DIPLOID VARIETIES AND THEIR TETRAPLOID PROGENIES IN PERENNIAL RYEGRASS	28853910	IRISH JOURNAL OF AGRICULTURAL RESEARCH	AHLOOWAL.BS	yes	1971	WOS:000292018300004	
NONE	287460345	Breeding field crops	Poehlman, JM	no	1995	WOS:000292018300004	
