citedTitle	docid	citedWork	citedAuthor	hot	year	source_id
THE CONCEPT OF A LAND EQUIVALENT RATIO AND ADVANTAGES IN YIELDS FROM INTERCROPPING	6372863	EXPERIMENTAL AGRICULTURE	MEAD, R	yes	1980	WOS:000300149300008	
Productivity and economic viability of a palmarosa-pigeonpea intercropping system in the subtropical climate of north India	8476505	JOURNAL OF AGRICULTURAL SCIENCE	Singh, A	yes	1998	WOS:000300149300008	
Production techniques for the cultivation of safed musli (Chlorophytum borivilianum)	36464450	JOURNAL OF HORTICULTURAL SCIENCE & BIOTECHNOLOGY	Kothari, SK	yes	2003	WOS:000300149300008	
Performance of safed musli (Chlorophytum borivilianum) under various cropping systems based on kharif and rabi intercrops	429134767	NONE	Chouhan, GS	no	2000	WOS:000300149300008	
Safed musli.	40825873	Medicinal and aromatic plants. Advances in horticulture	Bordia, PC	no	1995	WOS:000300149300008	
GRAIN-YIELD POTENTIAL OF SOME DIVERSE MAIZE (ZEA-MAYS-L) MORPHOTYPES INTERCROPPED WITH COCOYAM (XANTHOSOMA-SAGITTIFOLIUM)	48617147	EXPERIMENTAL AGRICULTURE	AYUKTAKEM, JA	yes	1985	WOS:000300149300008	
Survival and yield of four medicinal plant species grown under tree plantations of bhataland.	36464504	Vaniki Sandesh	Chadhar, S. K.	yes	1996	WOS:000300149300008	
NONE	337124267	INDIAN J SOIL CONSER	SAMUEL MP	no	2010	WOS:000281547600013	
Effect of in situ moisture conservation practices on productivity and economics under maize + blackgram cropping system in semi-arid region	337124217	Indian Journal of Soil Conservation	Jat, M.L.	no	2010	WOS:000281547600013	
Impact of soil and water conservation structures on productivity and ground water table in Barcem watershed of Goa.	94291479	Indian Journal of Soil Conservation	Manivannan, S.	yes	2007	WOS:000281547600013	
NONE	337124250	INDIAN J SOIL CONSER	PRASAD K	no	2010	WOS:000281547600013	
NONE	337124279	J IWRS	SINGH RA	no	1995	WOS:000281547600013	
NONE	362595293	SSSA SPECIAL PUBLICA	GLADWIN CH	no	1997	WOS:000178112700014	
Does economic reform harm the environment? A review of structural adjustment in Malawi.	3355551	Journal of International Development	Cromwell, E.	yes	1993	WOS:000178112700014	
Soil nutrient status of smallholder farms in Malawi	27334676	COMMUNICATIONS IN SOIL SCIENCE AND PLANT ANALYSIS	Snapp, SS	yes	1998	WOS:000178112700014	
NONE	28318561	STAT WIND	*STATSOFT	no	1995	WOS:000178112700014	
Colorimetric determination of ammonium	26851263	NONE	Anderson, J.M.	no	1989	WOS:000178112700014	
RETHINKING THE FARMERS ROLE IN PLANT-BREEDING - LOCAL BEAN EXPERTS AND ON-STATION SELECTION IN RWANDA	2904998	EXPERIMENTAL AGRICULTURE	SPERLING, L	yes	1993	WOS:000178112700014	
Soil nitrate dynamics in relation to nitrogen source and landscape position in Malawi	2351082	AGROFORESTRY SYSTEMS	Phiri, RH	yes	1999	WOS:000178112700014	
Improved fallows come of age in the tropics	2350720	AGROFORESTRY SYSTEMS	Sanchez, PA	yes	1999	WOS:000178112700014	
NONE	28319440	FIELD GUIDE FARM EXP	MUTSAERS HJW	no	1997	WOS:000178112700014	
NONE	28318871	RHOD AGR J	BLACKSHAW GN	no	1921	WOS:000178112700014	
